,city,delivery_fee,rating,category,name,price,insert_date
0,madrid,2.99,85,Top Ventas,ShareBox® 25 Spicy McNuggets®,13.35,2023-10-06
1,madrid,2.99,85,Top Ventas,ShareBox® 10 Alitas + 10 McNuggets®,12.75,2023-10-06
2,madrid,2.99,85,Top Ventas,ShareBox® 25 McNuggets®,12.25,2023-10-06
3,madrid,2.99,85,Top Ventas,ShareBox® 10 McNuggets + 10 Spicy McNuggets®,12.10,2023-10-06
4,madrid,2.99,85,Top Ventas,McMenú McExtreme™ Bacon Doble,11.00,2023-10-06
5,madrid,2.99,85,Top Ventas,Menú McCrispy BBQ y Bacon,10.00,2023-10-06
6,madrid,2.99,85,Top Ventas,McMenú® CBO®,9.25,2023-10-06
7,madrid,2.99,85,Top Ventas,McMenú® Big Mac®,8.30,2023-10-06
8,madrid,2.99,85,Top Ventas,McFlurry® Oreo con Chocolate Blanco,3.96,2023-10-06
9,madrid,2.99,85,Novedades,Menú Completo Big Mac® Grande,14.36,2023-10-06
10,madrid,2.99,85,Novedades,Menú Completo Cuarto de Libra Grande,14.36,2023-10-06
11,madrid,2.99,85,Novedades,Menú Completo Big Mac® Mediano,13.36,2023-10-06
12,madrid,2.99,85,Novedades,Menú Completo Cuarto de Libra Mediano,13.36,2023-10-06
13,madrid,2.99,85,Novedades,Menú Completo Grande McCrispy Original,13.01,2023-10-06
14,madrid,2.99,85,Novedades,Menú Completo Mediano McCrispy Original,12.01,2023-10-06
15,madrid,2.99,85,Novedades,Menú Ensalada Chicken Honey Mustard,9.01,2023-10-06
16,madrid,2.99,85,Novedades,Menú Ensalada Chicken César,8.31,2023-10-06
17,madrid,2.99,85,Novedades,Menú Ensalada Honey Mustard,7.66,2023-10-06
18,madrid,2.99,85,Novedades,Ensalada Chicken Honey Mustard,7.31,2023-10-06
19,madrid,2.99,85,Novedades,Ensalada Chicken César,6.96,2023-10-06
20,madrid,2.99,85,Novedades,Ensalada Honey Mustard,5.96,2023-10-06
21,madrid,2.99,85,Novedades,Actimel Fresa ActiKids,2.35,2023-10-06
22,madrid,2.99,85,PACKS PARA COMPARTIR,PACK TRÍO,36.80,2023-10-06
23,madrid,2.99,85,PACKS PARA COMPARTIR,PACK DÚO,23.50,2023-10-06
24,madrid,2.99,85,PACKS PARA COMPARTIR,PACK FAMILIAR,23.43,2023-10-06
25,madrid,2.99,85,McMenú®,Menú Completo Grande McExtreme™ BBQ Bourbon Huevo Doble,15.81,2023-10-06
26,madrid,2.99,85,McMenú®,Menú Completo Mediano McExtreme™ BBQ Bourbon Huevo Doble,14.81,2023-10-06
27,madrid,2.99,85,McMenú®,Menú Completo Big Mac® Grande,14.36,2023-10-06
28,madrid,2.99,85,McMenú®,Menú Completo Cuarto de Libra Grande,14.36,2023-10-06
29,madrid,2.99,85,McMenú®,Menú Completo Grande McExtreme™ BBQ Bourbon Huevo,14.11,2023-10-06
30,madrid,2.99,85,McMenú®,Menú Completo Big Mac® Mediano,13.36,2023-10-06
31,madrid,2.99,85,McMenú®,Menú Completo Cuarto de Libra Mediano,13.36,2023-10-06
32,madrid,2.99,85,McMenú®,Menú completo grande McCrispy BBQ y Bacon,13.26,2023-10-06
33,madrid,2.99,85,McMenú®,Menú Completo Mediano McExtreme™ BBQ Bourbon Huevo,13.16,2023-10-06
34,madrid,2.99,85,McMenú®,Menú Completo Grande McCrispy Original,13.01,2023-10-06
35,madrid,2.99,85,McMenú®,McMenú Mediano McExtreme™ BBQ Bourbon Huevo Doble,12.50,2023-10-06
36,madrid,2.99,85,McMenú®,Menú Completo Grande Spicy McNuggets® 9 uds.,12.41,2023-10-06
37,madrid,2.99,85,McMenú®,Menú completo mediano McCrispy BBQ y Bacon,12.36,2023-10-06
38,madrid,2.99,85,McMenú®,Menú Completo Mediano McCrispy Original,12.01,2023-10-06
39,madrid,2.99,85,McMenú®,Menú Completo Mediano Spicy McNuggets® 9 uds.,11.41,2023-10-06
40,madrid,2.99,85,McMenú®,McMenú Cuarto de Libra Doble,11.00,2023-10-06
41,madrid,2.99,85,McMenú®,McMenú McExtreme™ Bacon Doble,11.00,2023-10-06
42,madrid,2.99,85,McMenú®,McMenú Mediano McExtreme™ BBQ Bourbon Huevo,10.90,2023-10-06
43,madrid,2.99,85,McMenú®,McMenú McExtreme™ Tres Quesos Doble,10.75,2023-10-06
44,madrid,2.99,85,McMenú®,Menú McCrispy BBQ y Bacon,10.00,2023-10-06
45,madrid,2.99,85,McMenú®,McMenú® McExtreme™ Bacon,9.80,2023-10-06
46,madrid,2.99,85,McMenú®,McMenú McCrispy Original,9.65,2023-10-06
47,madrid,2.99,85,McMenú®,McMenú McExtreme™ Tres Quesos,9.45,2023-10-06
48,madrid,2.99,85,McMenú®,McMenú® CBO®,9.25,2023-10-06
49,madrid,2.99,85,McMenú®,McMenú® Spicy McNuggets® 9 uds.,9.10,2023-10-06
50,madrid,2.99,85,McMenú®,McMenú® McNuggets® 9 Unidades,8.80,2023-10-06
51,madrid,2.99,85,McMenú®,McMenú® McWrap® Chicken & Bacon,8.75,2023-10-06
52,madrid,2.99,85,McMenú®,McMenú® Big Mac®,8.30,2023-10-06
53,madrid,2.99,85,McMenú®,McMenú® Cuarto de Libra,8.30,2023-10-06
54,madrid,2.99,85,McMenú®,McMenú® McRoyal Deluxe®,8.30,2023-10-06
55,madrid,2.99,85,McMenú®,McMenú® McPollo®,8.30,2023-10-06
56,madrid,2.99,85,McMenú®,Menú4You Triple + Complemento,7.35,2023-10-06
57,madrid,2.99,85,McMenú®,Menú4You Doble + Complemento,6.35,2023-10-06
58,madrid,2.99,85,McMenú®,Menú4You Triple,5.85,2023-10-06
