,city,name,location,price,discount,m2,bedrooms,bathrooms,insert_date
0,Madrid,Piso en venta en Calle de los Montes de Toledo,"Villa De Vallecas, Casco Histórico De Vallecas, Madrid","99,999",0, 53, 2, 1,2023-10-15
1,Madrid,Piso en venta en Carabanchel,"Puerta Bonita - Abrantes, Madrid","160,000",0, 79, 3, 1,2023-10-15
2,Madrid,Piso en venta en Arganzuela,"Delicias - Embajadores, Madrid","310,000",0, 8, 4, 1,2023-10-15
3,Madrid,Piso en venta en Latina,"Campamento, Madrid","305,000",7, 109, 4, 2,2023-10-15
4,Madrid,Piso en venta en Centro,"Lavapiés - Embajadores, Madrid","199,000",3, 50, 2, 1,2023-10-15
5,Madrid,Piso en venta en San Blas,"Simancas, Madrid","108,000",6, 53, 2, 1,2023-10-15
6,Madrid,Piso en venta en San Blas,"Simancas, Madrid","115,000",6, 54, 2, 1,2023-10-15
7,Madrid,Piso en venta en Francisca Torres Catalán,"Vicálvaro, Madrid","317,000",0, 11, 3, 2,2023-10-15
8,Madrid,Piso en venta en Carabanchel,"Carabanchel Alto - Buena Vista, Madrid","172,500",0, 76, 3, 1,2023-10-15
9,Madrid,Piso en venta en Carretera De Canillas,"Hortaleza, Canillas, Madrid","312,000",2, 117, 3, 1,2023-10-15
10,Madrid,Piso en venta en Puente De Vallecas,"Palomeras - Portazgo, Madrid","189,900",9, 116, 4, 2,2023-10-15
11,Madrid,Piso en venta en Calle de Bravo Murillo,"Tetuán, Berruguete, Madrid","205,000",0, 36, 2,unknown,2023-10-15
12,Madrid,Local comercial en venta en Calle de Matilde Hernandez,"Carabanchel, San Isidro, Madrid","79,900",0, 129, 2, 4,2023-10-15
13,Madrid,Piso en venta en Hortaleza,"Pinar Del Rey, Madrid","200,000",0, 70, 2, 1,2023-10-15
14,Madrid,Piso en venta en Ciudad Lineal,"Pueblo Nuevo, Madrid","135,000",4, 47, 2, 1,2023-10-15
15,Madrid,Piso en venta en Carabanchel,"Marque De Vadillo - Comillas, Madrid","149,000",0, 50, 2, 1,2023-10-15
16,Madrid,Piso en venta en Retiro,Madrid,"180,000",10, 49, 1, 1,2023-10-15
17,Madrid,Piso en venta en Hortaleza,"Pinar Del Rey, Madrid","189,000",6, 86,unknown, 1,2023-10-15
18,Madrid,Piso en venta en Ciudad Lineal,"Pueblo Nuevo, Madrid","228,000",0, 9,unknown, 1,2023-10-15
19,Madrid,Local comercial en venta en Villaverde,"Villaverde Alto, Madrid","76,000",0, 89,unknown, 2,2023-10-15
20,Madrid,Piso en venta en Centro,"Lavapiés - Embajadores, Madrid","335,000",4, 97, 3, 1,2023-10-15
21,Madrid,Piso en venta en Carabanchel,"Marque De Vadillo - Comillas, Madrid","130,000",0, 50, 2, 1,2023-10-15
22,Madrid,Piso en venta en Latina,"Campamento, Madrid","179,900",0, 71, 3, 1,2023-10-15
23,Madrid,Piso en venta en Fuencarral,"Pilar, Madrid","250,000",4, 74, 3, 1,2023-10-15
24,Madrid,Piso en venta en Retiro,Madrid,"580,000",7, 140, 3, 2,2023-10-15
25,Madrid,Casa en venta en Fuencarral,"Arroyo Del Fresno, Madrid","900,000",0, 27, 4,unknown,2023-10-15
26,Madrid,Piso en venta en Carabanchel,"Vista Alegre, Madrid","110,000",0, 36,unknown, 1,2023-10-15
27,Madrid,Piso en venta en Puente De Vallecas,"Palomeras - Portazgo, Madrid","118,000",0, 51, 2, 1,2023-10-15
28,Madrid,Piso en venta en Salamanca,"Guindalera, Madrid","749,000",2, 206, 5,unknown,2023-10-15
29,Madrid,Piso en venta en Salamanca,"Guindalera, Madrid","299,000",0, 69, 2,unknown,2023-10-15
30,Madrid,Piso en venta en San Blas,"Simancas, Madrid","260,000",5, 120, 3, 1,2023-10-15
31,Madrid,Piso en venta en Ciudad Lineal,"Ventas, Madrid","235,000",0, 70, 3, 1,2023-10-15
32,Madrid,Piso en venta en Usera,"Orcasitas - San Fermin, Madrid","120,000",5, 5, 2, 1,2023-10-15
33,Madrid,Piso en venta en Carabanchel,"Carabanchel Alto - Buena Vista, Madrid","148,000",6, 60, 2, 1,2023-10-15
34,Madrid,Piso en venta en Usera,"Orcasitas - San Fermin, Madrid","195,000",0, 130, 3, 2,2023-10-15
35,Madrid,Local comercial en venta en Centro,"Lavapiés - Embajadores, Madrid","99,000",10, 39, 3, 1,2023-10-15
36,Madrid,Piso en venta en Salamanca,"Fuente Del Berro, Madrid","950,000",0, 149, 4, 2,2023-10-15
37,Madrid,Box/plaza de garaje en venta en Martín De Los Heros,"Moncloa - Aravaca, Argüelles - Casa De Campo, Madrid","30,000",15, 26,unknown,unknown,2023-10-15
38,Madrid,Local comercial en venta en Ciudad Lineal,"Quintana, Madrid","100,000",0, 34,unknown, 1,2023-10-15
39,Madrid,Piso en venta en Ciudad Lineal,"Quintana, Madrid","193,000",2, 58, 2, 1,2023-10-15
40,Madrid,Piso en venta en Ciudad Lineal,"Quintana, Madrid","379,900",6, 13, 4, 2,2023-10-15
41,Madrid,Piso en venta en Ciudad Lineal,"Quintana, Madrid","184,900",2, 55, 2, 1,2023-10-15
42,Madrid,Piso en venta en Salamanca,"Fuente Del Berro, Madrid","185,000",0, 38, 1, 1,2023-10-15
43,Madrid,Box/plaza de garaje en venta en Paseo Marqués de Zafra,"Salamanca, Fuente Del Berro, Madrid","31,000",0, 1,unknown,unknown,2023-10-15
44,Madrid,Piso en venta en Salamanca,"Fuente Del Berro, Madrid","358,000",0, 66, 2, 1,2023-10-15
45,Madrid,Piso en venta en Calle Puerto de las Pilas,"Villa De Vallecas, Casco Histórico De Vallecas, Madrid","123,000",9, 51, 2, 1,2023-10-15
46,Madrid,Local comercial en venta en Fuencarral,"Peñagrande, Madrid","99,000",0, 46,unknown,unknown,2023-10-15
47,Madrid,Piso en venta en C. de Sierra Gádor,"Villa De Vallecas, Casco Histórico De Vallecas, Madrid","224,990",0, 145, 3, 2,2023-10-15
48,Madrid,Piso en venta en Salamanca,"Fuente Del Berro, Madrid","345,000",0, 77, 2, 1,2023-10-15
49,Madrid,Box/plaza de garaje en venta en Usera,"Almendrales - Pradolongo, Madrid","8,900",2, 15,unknown,unknown,2023-10-15
50,Madrid,Piso en venta en San Blas,"Simancas, Madrid","149,999",0, 67, 2, 1,2023-10-15
51,Madrid,Piso en venta en San Blas,"Canillejas, Madrid","229,000",0, 80, 3, 1,2023-10-15
52,Madrid,Piso en venta en Puente De Vallecas,"San Diego, Madrid","189,990",0, 95, 4, 2,2023-10-15
53,Madrid,Edificio en venta en Puente De Vallecas,"San Diego, Madrid","649,000",14, 413,unknown,unknown,2023-10-15
54,Madrid,Piso en venta en Puente De Vallecas,"San Diego, Madrid","115,000",0, 56, 2, 1,2023-10-15
